Gammal kod	Gammalt namn	Ny kod	Nytt namn	Hel/Del	Datum ikraftträdande	Ändringstyp	Ändring
058113	Simonstorp	058104	Kolmården	Hel	2010-01-01	10	Upphör; till befintlig
058114	Kvillinge	058104	Kolmården	Hel	2010-01-01	10	Upphör; till befintlig
058115	Krokek	058104	Kolmården	Hel	2010-01-01	10	Upphör; till befintlig
058116	Kvarsebo	058104	Kolmården	Hel	2010-01-01	10	Upphör; till befintlig
058117	Östra Stenby	058119	Västra Vikbolandet	Hel	2008-01-01	10	Upphör; till befintlig
058118	Konungsund	058119	Västra Vikbolandet	Hel	2008-01-01	10	Upphör; till befintlig
058119	Dagsberg	058119	Västra Vikbolandet	Hel	2008-01-01	16	Utvidgas och namnändras
058120	Furingstad	058119	Västra Vikbolandet	Hel	2008-01-01	10	Upphör; till befintlig
058121	Tåby	058119	Västra Vikbolandet	Hel	2008-01-01	10	Upphör; till befintlig
058122	Kuddby	058119	Västra Vikbolandet	Hel	2008-01-01	10	Upphör; till befintlig
058123	Å	058119	Västra Vikbolandet	Hel	2008-01-01	10	Upphör; till befintlig
058124	Östra Ny	058127	Jonsberg	Hel	2010-01-01	10	Upphör; till befintlig
058125	Östra Husby	058125	Östra Husby	Hel	2010-01-01	15	Utvidgas
058126	Häradshammar	058125	Östra Husby	Hel	2010-01-01	10	Upphör; till befintlig
058127	Jonsberg	058127	Jonsberg	Hel	2010-01-01	15	Utvidgas
058128	Rönö	058127	Jonsberg	Hel	2010-01-01	10	Upphör; till befintlig
058129	Vrinnevi	058105	Norrköpings Borg	Hel	2010-01-01	10	Upphör; till befintlig
058130	Svärtinge	058104	Kolmården	Hel	2010-01-01	10	Upphör; till befintlig
058201	Söderköping	058201	S:t Laurentii	Hel	1954-01-01	40	Namnändrad (ej kodändrad)
058201	S:t Laurentii	058201	Söderköping	Hel	2005-01-01	16	Utvidgas och namnändras
058201	Söderköping	058201	Söderköping S:t Anna	Hel	2010-01-01	16	Utvidgas och namnändras
058202	Drothem	058201	Söderköping	Hel	2005-01-01	10	Upphör; till befintlig
058203	Skönberga	058201	Söderköping	Hel	2005-01-01	10	Upphör; till befintlig
058204	Västra Husby	058204	Östra Ryd	Hel	2011-01-01	16	Utvidgas och namnändras
058205	Gårdeby	058204	Östra Ryd	Hel	2011-01-01	10	Upphör; till befintlig
058206	Östra Ryd	058204	Östra Ryd	Hel	2011-01-01	10	Upphör; till befintlig
058207	Skällvik	058210	S:t Anna	Hel	2002-01-01	10	Upphör; till befintlig
058208	S:t Anna	058210	S:t Anna	Hel	2002-01-01	10	Upphör; till befintlig
058209	Börrum	058210	S:t Anna	Hel	2002-01-01	10	Upphör; till befintlig
058210	Mogata	058210	S:t Anna	Hel	2002-01-01	16	Utvidgas och namnändras
058210	S:t Anna	058201	Söderköping S:t Anna	Hel	2010-01-01	10	Upphör; till befintlig
058301	Motala	058301	Motala	Hel	1967-01-01	15	Utvidgas
058302	Vinnerstad	058301	Motala	Hel	1967-01-01	10	Upphör; till befintlig
058305	Kristberg	058306	Borensberg	Hel	2006-01-01	10	Upphör; till befintlig
058306	Brunneby	058306	Borensberg	Hel	2006-01-01	16	Utvidgas och namnändras
058308	Älvestad	058309	Fornåsa	Hel	2008-01-01	10	Upphör; till befintlig
058309	Fornåsa	058309	Fornåsa	Hel	2008-01-01	15	Utvidgas
058310	Lönsås	058309	Fornåsa	Hel	2008-01-01	10	Upphör; till befintlig
058311	Ekebyborna	058309	Fornåsa	Hel	2008-01-01	10	Upphör; till befintlig
058312	Ask	058309	Fornåsa	Hel	2008-01-01	10	Upphör; till befintlig
058313	Vadstena	058401	Vadstena	Hel	1980-01-01	21	Kodändrad; ny kommuntillhörighet
058314	Strå	058403	Strå	Hel	1980-01-01	21	Kodändrad; ny kommuntillhörighet
058315	Nässja	058404	Nässja	Hel	1980-01-01	21	Kodändrad; ny kommuntillhörighet
058316	Örberga	058405	Örberga	Hel	1980-01-01	21	Kodändrad; ny kommuntillhörighet
058317	Herrestad	058406	Herrestad	Hel	1980-01-01	21	Kodändrad; ny kommuntillhörighet
058318	Källstad	058407	Källstad	Hel	1980-01-01	21	Kodändrad; ny kommuntillhörighet
058319	Rogslösa	058408	Rogslösa	Hel	1980-01-01	21	Kodändrad; ny kommuntillhörighet
058320	Väversunda	058409	Väversunda	Hel	1980-01-01	21	Kodändrad; ny kommuntillhörighet
058321	Hov	058410	Hov	Hel	1980-01-01	21	Kodändrad; ny kommuntillhörighet
058323	Varv och Styra	058324	Aska, del	Del	2006-01-01	10	Upphör; till befintlig
058324	Västra Stenby	058324	Aska, del	Del	2006-01-01	16	Utvidgas och namnändras
058325	Hagebyhöga	058411	Hagebyhöga	Hel	1980-01-01	21	Kodändrad; ny kommuntillhörighet
058326	Fivelstad	058324	Aska, del	Del	2006-01-01	10	Upphör; till befintlig
058327	Orlunda	058412	Orlunda	Hel	1980-01-01	21	Kodändrad; ny kommuntillhörighet
058401	Vadstena	058401	Vadstena	Hel	1967-01-01	15	Utvidgas
058401	Vadstena	058313	Vadstena	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
058401	Vadstena	058401	Vadstena	Hel	2006-01-01	15	Utvidgas
058402	Sankt Per	058401	Vadstena	Hel	1967-01-01	10	Upphör; till befintlig
058403	Strå	058314	Strå	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
058403	Strå	058401	Vadstena	Hel	2006-01-01	10	Upphör; till befintlig
058404	Nässja	058315	Nässja	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
058404	Nässja	058408	Dal	Hel	2006-01-01	10	Upphör; till befintlig
058405	Örberga	058316	Örberga	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
058405	Örberga	058408	Dal	Hel	2006-01-01	10	Upphör; till befintlig
058406	Herrestad	058317	Herrestad	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
058406	Herrestad	058408	Dal	Hel	2006-01-01	10	Upphör; till befintlig
058407	Källstad	058318	Källstad	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
058407	Källstad	058408	Dal	Hel	2006-01-01	10	Upphör; till befintlig
058408	Rogslösa	058319	Rogslösa	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
058408	Rogslösa	058408	Dal	Hel	2006-01-01	16	Utvidgas och namnändras
058409	Väversunda	058320	Väversunda	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
058409	Väversunda	058408	Dal	Hel	2006-01-01	10	Upphör; till befintlig
058410	Hov	058321	Hov	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
058410	Hov	058401	Vadstena	Hel	2006-01-01	10	Upphör; till befintlig
058411	Hagebyhöga	058411	Aska, del	Del	2006-01-01	16	Utvidgas och namnändras
058412	Orlunda	058411	Aska, del	Del	2006-01-01	10	Upphör; till befintlig
058501	Skänninge	058603	Skänninge	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
058502	Bjälbo	058604	Bjälbo	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
058503	Allhelgona	058605	Allhelgona	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
058504	Järstad	058606	Järstad	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
058601	Mjölby	058601	Mjölby	Hel	2006-01-01	15	Utvidgas
058602	Högby	058601	Mjölby	Hel	2006-01-01	10	Upphör; till befintlig
058603	Skänninge	058603	Skänninge-Allhelgona	Hel	2006-01-01	16	Utvidgas och namnändras
058603	Skänninge-Allhelgona	058603	Skänninge	Hel	2010-01-01	16	Utvidgas och namnändras
058604	Bjälbo	058603	Skänninge	Hel	2010-01-01	10	Upphör; till befintlig
058605	Allhelgona	058603	Skänninge-Allhelgona	Hel	2006-01-01	10	Upphör; till befintlig
058606	Järstad	058603	Skänninge	Hel	2010-01-01	10	Upphör; till befintlig
058607	Normlösa	058603	Skänninge	Hel	2010-01-01	10	Upphör; till befintlig
058608	Vallerstad	058603	Skänninge	Hel	2010-01-01	10	Upphör; till befintlig
058609	Skeppsås	058603	Skänninge	Hel	2010-01-01	10	Upphör; till befintlig
058610	Appuna	058612	Väderstad	Hel	2006-01-01	10	Upphör; till befintlig
058611	Hogstad	058612	Väderstad	Hel	2006-01-01	10	Upphör; till befintlig
058612	Väderstad	058612	Väderstad	Hel	2006-01-01	15	Utvidgas
058613	Kumla	058612	Väderstad	Hel	2006-01-01	10	Upphör; till befintlig
058614	Västra Harg	058618	Vifolka	Hel	2018-01-01	10	Upphör; till befintlig
058615	Sya	058618	Veta	Hel	2010-01-01	10	Upphör; till befintlig
058617	Viby	058618	Vifolka	Hel	2018-01-01	10	Upphör; till befintlig
058618	Veta	058618	Veta	Hel	2010-01-01	15	Utvidgas
058618	Veta	058618	Vifolka	Hel	2018-01-01	16	Utvidgas och namnändras
058619	Herrberga	058618	Veta	Hel	2010-01-01	10	Upphör; till befintlig
060101	Bellö	068604	Bellö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
060102	Ingatorp	068605	Ingatorp	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
060201	Hult	068606	Hult	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
060202	Edshult	068607	Edshult	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
060203	Mellby	068608	Mellby	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
060204	Höreda	068609	Höreda	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
060301	Norra Solberga	068205	Norra Solberga	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
060302	Flisby	068206	Flisby	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
060401	Bälaryd	060402	Aneby	Hel	2006-01-01	10	Upphör; till befintlig
060402	Bredestad	060402	Aneby	Hel	2006-01-01	16	Utvidgas och namnändras
060404	Marbäck	060402	Aneby	Hel	2006-01-01	10	Upphör; till befintlig
060407	Haurida	060408	Haurida-Vireda	Hel	2006-01-01	10	Upphör; till befintlig
060408	Vireda	060408	Haurida-Vireda	Hel	2006-01-01	16	Utvidgas och namnändras
060501	Lommaryd	060406	Lommaryd	Hel	1967-01-01	21	Kodändrad; ny kommuntillhörighet
060502	Haurida	060407	Haurida	Hel	1967-01-01	21	Kodändrad; ny kommuntillhörighet
060503	Vireda	060408	Vireda	Hel	1967-01-01	21	Kodändrad; ny kommuntillhörighet
060601	Adelöv	068702	Adelöv	Hel	1967-01-01	21	Kodändrad; ny kommuntillhörighet
060602	Linderås	068703	Linderås	Hel	1967-01-01	21	Kodändrad; ny kommuntillhörighet
060700	Visingsö	060701	Visingsö	Hel	1967-01-01	23	Kodändrad; annat än 20-22
060701	Visingsö	068009	Visingsö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
060801	Skärstad	068010	Skärstad	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
060802	Ölmstad	068011	Ölmstad	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
060901	Svarttorp	068012	Svarttorp	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
060902	Järsnäs	068013	Järsnäs	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
060903	Lekeryd	068014	Lekeryd	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
061000	Hakarp	068102	Hakarp	Hel	1967-01-01	21	Kodändrad; ny kommuntillhörighet
061101	Rogberga	068015	Rogberga	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
061102	Barnarp	068016	Barnarp	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
061103	Ödestugu	068017	Ödestugu	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
061104	Öggestorp	068018	Öggestorp	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
061201	Forserum	068207	Forserum	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
061202	Barkeryd	068208	Barkeryd	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
061300	Månsarp	061301	Månsarp	Hel	1967-01-01	23	Kodändrad; annat än 20-22
061301	Månsarp	068019	Månsarp	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
061400	Bankeryd	061401	Bankeryd	Hel	1967-01-01	23	Kodändrad; annat än 20-22
061401	Bankeryd	068020	Bankeryd	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
061501	Bottnaryd	068021	Bottnaryd	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
061502	Mulseryd	068022	Mulseryd	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
061503	Angerdshestra	068023	Angerdshestra	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
061601	Norra Unnaryd	068024	Norra Unnaryd	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
061602	Stengårdshult	066205	Stengårdshult	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
061603	Valdshult	066206	Valdshult	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
061604	Öreryd	066207	Öreryd	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
061605	Norra Hestra	066208	Norra Hestra	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
061800	Anderstorp	066600	Anderstorp	Hel	1953-01-01	23	Kodändrad; annat än 20-22
061900	Villstad	061901	Villstad	Hel	1967-01-01	23	Kodändrad; annat än 20-22
061901	Villstad	066209	Villstad	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
062001	Burseryd	066210	Burseryd	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
062002	Sandvik	066211	Sandvik	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
062003	Gryteryd	066212	Gryteryd	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
062004	Södra Hestra	066213	Södra Hestra	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
062101	Långaryd	131504	Långaryd	Hel	1974-01-01	23	Kodändrad; annat än 20-22
062102	Färgaryd	131505	Färgaryd	Hel	1974-01-01	20	Kodändrad; ny länstillhörighet
062103	Femsjö	131506	Femsjö	Hel	1974-01-01	20	Kodändrad; ny länstillhörighet
062201	Södra Unnaryd	131507	Södra Unnaryd	Hel	1974-01-01	22	Kodändrad; både ny läns- och kommuntillhörighet
062202	Jälluntofta	131508	Jälluntofta	Hel	1974-01-01	22	Kodändrad; både ny läns- och kommuntillhörighet
062203	Bolmsö	062204	Bolmsö, del	Hel	1971-01-01	33	Kod- och namnändrad; annat än 30-32
062204	Bolmsö, del	066214	Ås	Hel	1974-01-01	10	Upphör; till befintlig
062204	Bolmsö, del	078118	Bolmsö, del	Del	1971-01-01	12	Ger del till nybildad
062301	Ås	066214	Ås	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
062302	Kållerstad	066215	Kållerstad	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
062303	Reftele	066216	Reftele	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
062401	Bredaryd	068302	Bredaryd	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062402	Kulltorp, del	068303	Kulltorp, del	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062501	Kärda	068304	Kärda	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062502	Hånger	068305	Hånger	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062503	Forsheda	068306	Forsheda	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062504	Torskinge	068307	Torskinge	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062505	Dannäs	068308	Dannäs	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062506	Tannåker	078119	Tannåker	Hel	1971-01-01	22	Kodändrad; både ny läns- och kommuntillhörighet
062601	Tånnö	068309	Tånnö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062602	Voxtorp	068310	Voxtorp	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062603	Gällaryd	068311	Gällaryd	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062700	Rydaholm	062701	Rydaholm	Hel	1967-01-01	23	Kodändrad; annat än 20-22
062701	Rydaholm	068312	Rydaholm	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062801	Fryele	068313	Fryele	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062802	Hagshult	066504	Hagshult	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062803	Åker	066505	Åker	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
062804	Tofteryd, del	066503	Tofteryd	Hel	1971-01-01	10	Upphör; till befintlig
063001	Svenarum	066506	Svenarum	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063002	Nydala	068314	Nydala	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063003	Vrigstad	068403	Vrigstad	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063004	Hylletofta	068404	Hylletofta	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063101	Malmbäck	068209	Malmbäck	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063102	Almesåkra	068210	Almesåkra	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063201	Bringetofta	068204	Bringetofta	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063202	Norra Sandsjö kbfd	068203	Norra Sandsjö kbfd	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063301	Hjälmseryd	068406	Hjälmseryd	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
063302	Stockaryd	068407	Stockaryd	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
063303	Hultsjö	068408	Hultsjö	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
063401	Skepperstad	068405	Skepperstad	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063402	Fröderyd	068505	Fröderyd	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063403	Bäckaby	068506	Bäckaby	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063404	Ramkvilla	068507	Ramkvilla	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063501	Södra Solberga	068508	Södra Solberga	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063502	Korsberga	068509	Korsberga	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063503	Lemnhult	068510	Lemnhult	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063601	Näshult	068511	Näshult	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063602	Stenberga	068512	Stenberga	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063603	Skirö	068513	Skirö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063604	Nye	068514	Nye	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063701	Alseda	068515	Alseda	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063702	Ökna	068516	Ökna	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063703	Karlstorp	068517	Karlstorp	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063704	Skede	068518	Skede	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063801	Vetlanda, del	068501	Vetlanda	Hel	1971-01-01	10	Upphör; till befintlig
063802	Bäckseda	068503	Bäckseda	Hel	1971-01-01	23	Kodändrad; annat än 20-22
063803	Näsby	068504	Näsby	Hel	1971-01-01	23	Kodändrad; annat än 20-22
063901	Björkö	068519	Björkö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
063902	Nävelsjö	068520	Nävelsjö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
064001	Lannaskede	068521	Lannaskede	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
064002	Myresjö	068522	Myresjö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
064201	Utvängstorp	064202	Sandhem-Utvängstorp	Hel	2002-01-01	10	Upphör; till befintlig
064202	Sandhem	064202	Sandhem-Utvängstorp	Hel	2002-01-01	16	Utvidgas och namnändras
064202	Sandhem-Utvängstorp	064203	Mullsjö-Sandhem	Hel	2010-01-01	10	Upphör; till befintlig
064203	Nykyrka	064203	Mullsjö	Hel	2002-01-01	16	Utvidgas och namnändras
064203	Mullsjö	064203	Mullsjö-Sandhem	Hel	2010-01-01	16	Utvidgas och namnändras
064204	Bjurbäck	064203	Mullsjö	Hel	2002-01-01	10	Upphör; till befintlig
066001	Hässleby	068602	Hässleby	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
066002	Kråkshult	068603	Kråkshult	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
066100	Norrahammar	066101	Norrahammar	Hel	1967-01-01	23	Kodändrad; annat än 20-22
066101	Norrahammar	068008	Norrahammar	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
066205	Stengårdshult	066208	Norra Hestra	Hel	2010-01-01	10	Upphör; till befintlig
066206	Valdshult	066208	Norra Hestra	Hel	2010-01-01	10	Upphör; till befintlig
066207	Öreryd	066208	Norra Hestra	Hel	2010-01-01	10	Upphör; till befintlig
066208	Norra Hestra	066208	Norra Hestra	Hel	2010-01-01	15	Utvidgas
066210	Burseryd	066210	Burseryd	Hel	1995-01-01	15	Utvidgas
066210	Burseryd	066210	Burseryd	Hel	2014-01-01	15	Utvidgas
066211	Sandvik	066210	Burseryd	Hel	1995-01-01	10	Upphör; till befintlig
066212	Gryteryd	066210	Burseryd	Hel	2014-01-01	10	Upphör; till befintlig
066213	Södra Hestra	066210	Burseryd	Hel	2014-01-01	10	Upphör; till befintlig
066214	Ås	066216	Västbo S:t Sigfrid	Hel	2014-01-01	10	Upphör; till befintlig
066214	Ås	066214	Ås	Hel	1974-01-01	15	Utvidgas
066215	Kållerstad	066216	Västbo S:t Sigfrid	Hel	2014-01-01	10	Upphör; till befintlig
066216	Reftele	066216	Västbo S:t Sigfrid	Hel	2014-01-01	16	Utvidgas och namnändras
066300	Tofteryd, del	066301	Tofteryd, del	Hel	1967-01-01	23	Kodändrad; annat än 20-22
066301	Tofteryd, del	066503	Tofteryd	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
066400	Bodafors kbfd	066401	Bodafors kbfd	Hel	1967-01-01	23	Kodändrad; annat än 20-22
066401	Bodafors kbfd	068202	Bodafors kbfd	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
066501	Byarum	066501	Byarum-Bondstorp	Hel	2010-01-01	16	Utvidgas och namnändras
066502	Bondstorp	066501	Byarum-Bondstorp	Hel	2010-01-01	10	Upphör; till befintlig
066503	Tofteryd	066503	Skillingaryd	Hel	2014-01-01	16	Utvidgas och namnändras
066503	Tofteryd	066503	Tofteryd	Hel	1971-01-01	16	Utvidgas och namnändras
066504	Hagshult	066503	Skillingaryd	Hel	2014-01-01	10	Upphör; till befintlig
066505	Åker	066503	Skillingaryd	Hel	2014-01-01	10	Upphör; till befintlig
066600	Anderstorp	066601	Anderstorp	Hel	1967-01-01	23	Kodändrad; annat än 20-22
066601	Anderstorp	066204	Anderstorp	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
068001	Jönköpings Sofia	068001	Jönköpings Sofia-Järstorp	Hel	2010-01-01	16	Utvidgas och namnändras
068001	Jönköpings Sofia-Järstorp	068002	Jönköping	Hel	2018-01-01	10	Upphör; till befintlig
068002	Jönköpings Kristina	068002	Jönköpings Kristina-Ljungarum	Hel	2006-01-01	16	Utvidgas och namnändras
068002	Jönköpings Kristina-Ljungarum	068002	Jönköping	Hel	2018-01-01	16	Utvidgas och namnändras
068003	Ljungarum	068002	Jönköpings Kristina-Ljungarum	Hel	2006-01-01	10	Upphör; till befintlig
068004	Järstorp	068001	Jönköpings Sofia-Järstorp	Hel	2010-01-01	10	Upphör; till befintlig
068010	Skärstad	068010	Skärstad-Ölmstad	Hel	2010-01-01	16	Utvidgas och namnändras
068011	Ölmstad	068010	Skärstad-Ölmstad	Hel	2010-01-01	10	Upphör; till befintlig
068012	Svarttorp	068014	Lekeryd	Hel	2006-01-01	10	Upphör; till befintlig
068013	Järsnäs	068014	Lekeryd	Hel	2006-01-01	10	Upphör; till befintlig
068014	Lekeryd	068014	Lekeryd	Hel	2006-01-01	15	Utvidgas
068015	Rogberga	068015	Rogberga-Öggestorp	Hel	2006-01-01	16	Utvidgas och namnändras
068016	Barnarp	068016	Barnarp-Ödestugu	Hel	2018-01-01	16	Utvidgas och namnändras
068017	Ödestugu	068016	Barnarp-Ödestugu	Hel	2018-01-01	10	Upphör; till befintlig
068018	Öggestorp	068015	Rogberga-Öggestorp	Hel	2006-01-01	10	Upphör; till befintlig
068021	Bottnaryd	068021	Norra Mo	Hel	2002-01-01	16	Utvidgas och namnändras
068021	Norra Mo	068021	Norra Mo	Hel	2006-01-01	15	Utvidgas
068022	Mulseryd	068021	Norra Mo	Hel	2002-01-01	10	Upphör; till befintlig
068023	Angerdshestra	068021	Norra Mo	Hel	2002-01-01	10	Upphör; till befintlig
068024	Norra Unnaryd	068021	Norra Mo	Hel	2006-01-01	10	Upphör; till befintlig
068100	Huskvarna	068101	Huskvarna	Hel	1967-01-01	23	Kodändrad; annat än 20-22
068101	Huskvarna	068005	Huskvarna	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
068102	Hakarp	068006	Hakarp	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
068200	Nässjö	068201	Nässjö	Hel	1967-01-01	23	Kodändrad; annat än 20-22
068202	Bodafors kbfd	068203	Norra Sandsjö	Hel	1992-01-01	10	Upphör; till befintlig
068203	Norra Sandsjö kbfd	068203	Norra Sandsjö	Hel	1992-01-01	16	Utvidgas och namnändras
068205	Norra Solberga	068205	Norra Solberga-Flisby	Hel	2007-01-01	16	Utvidgas och namnändras
068206	Flisby	068205	Norra Solberga-Flisby	Hel	2007-01-01	10	Upphör; till befintlig
068207	Forserum	068207	Barkeryd-Forserum	Hel	2010-01-01	16	Utvidgas och namnändras
068208	Barkeryd	068207	Barkeryd-Forserum	Hel	2010-01-01	10	Upphör; till befintlig
068300	Värnamo	068301	Värnamo	Hel	1967-01-01	23	Kodändrad; annat än 20-22
068304	Kärda	068306	Forshedabygden	Hel	2012-01-01	10	Upphör; till befintlig
068305	Hånger	068306	Forshedabygden	Hel	2012-01-01	10	Upphör; till befintlig
068306	Forsheda	068306	Forshedabygden	Hel	2012-01-01	16	Utvidgas och namnändras
068307	Torskinge	068306	Forshedabygden	Hel	2012-01-01	10	Upphör; till befintlig
068308	Dannäs	068306	Forshedabygden	Hel	2012-01-01	10	Upphör; till befintlig
068313	Fryele	068313	Nydala-Fryele	Hel	2013-01-01	16	Utvidgas och namnändras
068314	Nydala	068313	Nydala-Fryele	Hel	2013-01-01	10	Upphör; till befintlig
068401	Sävsjö	068401	Sävsjö	Hel	2010-01-01	15	Utvidgas
068402	Hjärtlanda	068401	Sävsjö	Hel	2010-01-01	10	Upphör; till befintlig
068403	Vrigstad	068403	Vrigstad-Hylletofta	Hel	2006-01-01	16	Utvidgas och namnändras
068404	Hylletofta	068403	Vrigstad-Hylletofta	Hel	2006-01-01	10	Upphör; till befintlig
068405	Skepperstad	068401	Sävsjö	Hel	2010-01-01	10	Upphör; till befintlig
068406	Hjälmseryd	068406	Stockaryd	Hel	2019-01-01	16	Utvidgas och namnändras
068407	Stockaryd	068406	Stockaryd	Hel	2019-01-01	10	Upphör; till befintlig
068408	Hultsjö	068406	Stockaryd	Hel	2019-01-01	10	Upphör; till befintlig
